year,month,V,U,theta
2013,1,3923,12471,0.314569801940502
2013,2,4004,11950,0.3350627615062762
2013,3,4076,11689,0.34870390965865344
2013,4,3988,11760,0.3391156462585034
2013,5,4145,11654,0.35567187231851727
2013,6,4150,11751,0.353161433069526
2013,7,3885,11335,0.3427437141596824
2013,8,4085,11279,0.3621774980051423
2013,9,4128,11270,0.366282165039929
2013,10,4222,11136,0.3791307471264368
2013,11,4119,10787,0.3818485213683137
2013,12,4121,10404,0.39609765474817377
2014,1,4127,10202,0.40452852381885906
2014,2,4373,10349,0.42255290366218956
2014,3,4388,10380,0.42273603082851635
2014,4,4566,9702,0.4706246134817563
2014,5,4747,9859,0.4814889948270616
2014,6,4982,9460,0.5266384778012685
2014,7,4846,9608,0.5043713572023314
2014,8,5349,9599,0.5572455464110845
2014,9,4914,9262,0.530554955733103
2014,10,5012,8990,0.5575083426028921
2014,11,4843,9090,0.5327832783278328
2014,12,5130,8717,0.5885052196856717
2015,1,5344,8885,0.6014631401238042
2015,2,5466,8599,0.6356553087568322
2015,3,5210,8515,0.6118614210217264
2015,4,5598,8550,0.6547368421052632
2015,5,5563,8834,0.629726058410686
2015,6,5248,8247,0.6363526130714199
2015,7,6056,8167,0.7415207542549284
2015,8,5467,7992,0.6840590590590591
2015,9,5488,7907,0.6940685468572151
2015,10,5773,7922,0.7287301186569048
2015,11,5708,8000,0.7135
2015,12,5845,7907,0.7392184140634881
2016,1,6012,7627,0.7882522617018487
2016,2,5770,7702,0.7491560633601662
2016,3,6129,7961,0.7698781560105514
2016,4,5803,8067,0.7193504400644601
2016,5,5777,7652,0.7549660219550445
2016,6,5742,7744,0.7414772727272727
2016,7,5962,7641,0.7802643633032326
2016,8,5677,7784,0.72931654676259
2016,9,5868,7953,0.7378347793285552
2016,10,5591,7811,0.7157854308027142
2016,11,5971,7553,0.7905468025949953
2016,12,5964,7521,0.7929796569605105
2017,1,5617,7468,0.7521424745581147
2017,2,5923,7379,0.802683290418756
2017,3,5811,7073,0.821575003534568
2017,4,6091,7089,0.8592185075469037
2017,5,5826,7000,0.8322857142857143
2017,6,6305,6873,0.9173577768077986
2017,7,6238,6892,0.9051073708647708
2017,8,6276,7082,0.886190341711381
2017,9,6320,6854,0.9220892909250072
2017,10,6408,6700,0.9564179104477611
2017,11,6271,6774,0.9257454974904045
2017,12,6336,6632,0.9553679131483716
2018,1,6621,6489,1.020342117429496
2018,2,6552,6581,0.9955933748670415
2018,3,6818,6472,1.053461063040791
2018,4,6877,6459,1.064715900294163
2018,5,7016,6196,1.13234344738541
2018,6,7230,6447,1.121451838064216
2018,7,7190,6195,1.1606133979015334
2018,8,7208,6156,1.1708901884340481
2018,9,7411,6073,1.2203194467314342
2018,10,7304,6211,1.1759781033649976
2018,11,7594,6115,1.2418642681929681
2018,12,7489,6389,1.17217091876663
2019,1,7502,6475,1.1586100386100386
2019,2,7066,6136,1.1515645371577574
2019,3,7317,6202,1.1797807158980973
2019,4,7272,5961,1.2199295420231504
2019,5,7275,5930,1.22681281618887
2019,6,7194,5935,1.2121314237573715
2019,7,7042,6061,1.1618544794588352
2019,8,7178,5945,1.2074011774600504
2019,9,7124,5753,1.2383104467234487
2019,10,7289,5871,1.2415261454607391
2019,11,6888,5868,1.1738241308793456
2019,12,6699,5853,1.1445412608918504
2020,1,7124,5869,1.2138354063724655
2020,2,6966,5753,1.2108465148618113
2020,3,5894,7206,0.8179295031917846
2020,4,4606,23084,0.1995321434760007
2020,5,5612,20929,0.2681446796311338
2020,6,6129,17652,0.34721278042148196
2020,7,6530,16352,0.399339530332681
2020,8,6429,13461,0.477601961221306
2020,9,6511,12554,0.5186394774573841
2020,10,6798,11072,0.6139812138728323
2020,11,6820,10694,0.6377407892276042
2020,12,6773,10770,0.6288765088207985
2021,1,7204,10236,0.70379054318093
2021,2,7752,9995,0.7755877938969484
2021,3,8470,9756,0.8681836818368184
2021,4,9356,9762,0.9584101618520795
2021,5,9905,9266,1.0689617958126485
2021,6,10298,9462,1.0883534136546185
2021,7,11049,8731,1.2654907799793838
2021,8,10956,8276,1.3238279362010634
2021,9,10879,7652,1.421719811813905
2021,10,11341,7279,1.5580436873196868
2021,11,11119,6751,1.6470152569989631
2021,12,11417,6398,1.7844638949671772
2022,1,11238,6512,1.7257371007371007
2022,2,11661,6301,1.8506586256149817
2022,3,12134,6014,2.01762554040572
2022,4,11881,6002,1.9795068310563146
2022,5,11483,5983,1.9192712685943507
2022,6,11256,5951,1.8914468156612334
2022,7,11610,5768,2.0128294036061027
2022,8,10148,5919,1.7144787970941038
2022,9,10812,5792,1.8667127071823204
2022,10,10488,5964,1.7585513078470825
2022,11,10619,5943,1.7868080094228505
2022,12,10876,5766,1.8862296219216095
2023,1,10393,5747,1.808421785279276
2023,2,9846,5962,1.651459241865146
2023,3,9572,5839,1.6393218016783695
2023,4,9992,5751,1.7374369674839159
2023,5,9310,6089,1.5289866973230415
2023,6,9191,5958,1.5426317556226923
2023,7,8606,5920,1.4537162162162163
2023,8,9287,6284,1.4778803309993636
2023,9,9279,6326,1.466803667404363
2023,10,8550,6479,1.3196480938416422
2023,11,8663,6254,1.3851934761752478
2023,12,8585,6315,1.3594615993665875
2024,1,8468,6149,1.3771344934135632
2024,2,8445,6462,1.306870937790158
2024,3,8093,6497,1.245651839310451
2024,4,7619,6492,1.1735982747997535
2024,5,7901,6635,1.1908063300678222
2024,6,7412,6849,1.082201781281939
2024,7,7504,7097,1.0573481752853318
2024,8,7649,7071,1.0817423278178475
2024,9,7103,6901,1.0292711201275178
2024,10,7615,6972,1.0922260470453242
2024,11,8031,7121,1.1277910405841876
2024,12,7508,6886,1.0903282021492884
2025,1,7762,6849,1.1333041319900716
2025,2,7480,7052,1.06069200226886
2025,3,7200,7083,1.0165184243964422
2025,4,7395,7166,1.0319564610661456
2025,5,7712,7237,1.0656349316014924
2025,6,7437,7015,1.0601568068424805
